DAC_Bits,Voltaje_DAC,Mediana_ADC1(34)_V,Mediana_ADC2(35)_V,Unnamed: 4,Vled,Iled,Vcc
0,0.0,0.189,0.0,,1.3137448000000003,0.0,1.1837448000000002
1,0.013,0.192,0.0,,1.3325344000000001,0.0,1.2025344
2,0.026,0.193,0.0,,1.3387976,0.0,1.2087976
3,0.039,0.195,0.0,,1.351324,0.0,1.221324
4,0.052,0.197,0.0,,1.3638504,0.0,1.2338504000000001
5,0.065,0.201,0.0,,1.3889032000000001,0.0,1.2589032000000002
6,0.078,0.204,0.009,,1.3986928,8.999999999999999e-05,1.2776928
7,0.091,0.206,0.017,,1.4032192,0.00017,1.2902192
8,0.104,0.209,0.03,,1.4090088,0.0003,1.3090088
9,0.116,0.212,0.039,,1.4187984,0.00039,1.3277984
10,0.129,0.215,0.052,,1.424588,0.00052,1.3465880000000001
11,0.142,0.218,0.063,,1.4323776000000001,0.00063,1.3653776
12,0.155,0.219,0.071,,1.4306408,0.0007099999999999999,1.3716408
13,0.168,0.22,0.086,,1.421904,0.00086,1.377904
14,0.181,0.222,0.093,,1.4274304,0.0009299999999999999,1.3904304
15,0.194,0.225,0.105,,1.4342200000000003,0.00105,1.4092200000000001
16,0.207,0.228,0.116,,1.4420096,0.00116,1.4280096000000002
17,0.22,0.23,0.129,,1.4415360000000002,0.0012900000000000001,1.440536
18,0.233,0.233,0.141,,1.4483256,0.0014099999999999998,1.4593256000000001
19,0.246,0.236,0.153,,1.4551151999999998,0.00153,1.4781152
20,0.259,0.238,0.163,,1.4576416,0.0016300000000000002,1.4906416
21,0.272,0.24,0.172,,1.4611680000000002,0.00172,1.503168
22,0.285,0.243,0.186,,1.4659576000000003,0.0018599999999999999,1.5219576000000001
23,0.298,0.245,0.195,,1.469484,0.0019500000000000001,1.534484
24,0.311,0.247,0.206,,1.4710104,0.0020599999999999998,1.5470104
25,0.324,0.25,0.218,,1.4778000000000002,0.00218,1.5658
26,0.336,0.252,0.23,,1.4783264000000003,0.0023,1.5783264000000001
27,0.349,0.254,0.241,,1.4798528000000002,0.00241,1.5908528000000002
28,0.362,0.256,0.255,,1.4783792,0.00255,1.6033792000000002
29,0.375,0.258,0.262,,1.4839056,0.00262,1.6159056
30,0.388,0.259,0.272,,1.4801688,0.00272,1.6221688
31,0.401,0.263,0.284,,1.4932216,0.0028399999999999996,1.6472216000000002
32,0.414,0.265,0.301,,1.4887480000000002,0.00301,1.6597480000000002
33,0.427,0.269,0.312,,1.5028008000000002,0.00312,1.6848008
34,0.44,0.271,0.322,,1.5053272,0.00322,1.6973272000000001
35,0.453,0.272,0.335,,1.4985904000000003,0.00335,1.7035904000000002
36,0.466,0.272,0.347,,1.4865904000000003,0.0034699999999999996,1.7035904000000002
37,0.479,0.275,0.357,,1.4953800000000004,0.00357,1.7223800000000002
38,0.492,0.278,0.372,,1.4991696,0.0037199999999999998,1.7411696000000003
39,0.505,0.281,0.377,,1.5129592,0.00377,1.7599592000000002
40,0.518,0.284,0.388,,1.5207487999999998,0.00388,1.7787488
41,0.531,0.285,0.4,,1.515012,0.004,1.785012
42,0.544,0.288,0.412,,1.5218015999999999,0.0041199999999999995,1.8038016
43,0.556,0.292,0.428,,1.5308544,0.00428,1.8288544
44,0.569,0.293,0.439,,1.5261176,0.00439,1.8351176
45,0.582,0.295,0.451,,1.5266440000000001,0.00451,1.847644
46,0.595,0.297,0.461,,1.5291704,0.00461,1.8601704000000001
47,0.608,0.299,0.474,,1.5286968,0.004739999999999999,1.8726968
48,0.621,0.3,0.481,,1.5279599999999998,0.00481,1.87896
49,0.634,0.302,0.492,,1.5294864000000001,0.00492,1.8914864
50,0.647,0.305,0.508,,1.532276,0.00508,1.910276
51,0.66,0.307,0.517,,1.5358024000000001,0.00517,1.9228024000000001
52,0.673,0.309,0.529,,1.5363288000000002,0.00529,1.9353288000000002
53,0.686,0.311,0.542,,1.5358551999999999,0.00542,1.9478552
54,0.699,0.313,0.553,,1.5373815999999998,0.00553,1.9603816
55,0.712,0.317,0.565,,1.5504344000000003,0.00565,1.9854344000000002
56,0.725,0.318,0.576,,1.5456976,0.0057599999999999995,1.9916976000000002
57,0.738,0.322,0.583,,1.5637504000000004,0.005829999999999999,2.0167504000000003
58,0.751,0.322,0.596,,1.5507504,0.00596,2.0167504000000003
59,0.764,0.322,0.608,,1.5387504,0.0060799999999999995,2.0167504000000003
60,0.776,0.326,0.62,,1.5518032000000002,0.0062,2.0418032000000004
61,0.789,0.326,0.63,,1.5418032000000004,0.0063,2.0418032000000004
62,0.802,0.33,0.64,,1.5568559999999998,0.0064,2.066856
63,0.815,0.332,0.653,,1.5563824,0.00653,2.0793824
64,0.828,0.336,0.672,,1.5624352,0.00672,2.1044352
65,0.841,0.338,0.683,,1.5639616000000003,0.00683,2.1169616
66,0.854,0.34,0.695,,1.5644880000000003,0.00695,2.1294880000000003
67,0.867,0.344,0.706,,1.5785407999999999,0.0070599999999999994,2.1545408
68,0.88,0.346,0.717,,1.5800671999999998,0.007169999999999999,2.1670672
69,0.893,0.348,0.729,,1.5805935999999998,0.00729,2.1795936
70,0.906,0.348,0.741,,1.5685935999999998,0.00741,2.1795936
71,0.919,0.351,0.752,,1.5763832,0.00752,2.1983832
72,0.932,0.353,0.763,,1.5779096,0.0076300000000000005,2.2109096
73,0.945,0.356,0.776,,1.5836992000000003,0.00776,2.2296992
74,0.958,0.359,0.787,,1.5914888,0.00787,2.2484888
75,0.971,0.36,0.795,,1.5897519999999998,0.00795,2.254752
76,0.984,0.36,0.809,,1.5757519999999996,0.00809,2.254752
77,0.996,0.364,0.818,,1.5918047999999998,0.00818,2.2798048
78,1.009,0.366,0.836,,1.5863312,0.00836,2.2923312
79,1.022,0.368,0.849,,1.5858576000000002,0.00849,2.3048576
