DAC_Bits,Voltaje_DAC,Mediana_ADC1(34)_V,Mediana_ADC2(35)_V,Unnamed: 4,Vled,Iled,Vcc
0,0.0,0.304,0.0,,2.0340128,0.0,1.9040128
1,0.013,0.308,0.0,,2.0590656000000003,0.0,1.9290656000000002
2,0.026,0.309,0.0,,2.0653288,0.0,1.9353288000000002
3,0.039,0.313,0.0,,2.0903816,0.0,1.9603816
4,0.052,0.318,0.0,,2.1216976,0.0,1.9916976000000002
5,0.065,0.319,0.0,,2.1279608000000003,0.0,1.9979608000000002
6,0.078,0.322,0.0,,2.1467504,0.0,2.0167504000000003
7,0.091,0.323,0.01,,2.1430136,0.0001,2.0230136
8,0.104,0.326,0.023,,2.1488032,0.00023,2.0418032000000004
9,0.116,0.332,0.033,,2.1763824,0.00033,2.0793824
10,0.129,0.333,0.044,,2.1716456,0.00043999999999999996,2.0856456000000003
11,0.142,0.336,0.053,,2.1814352,0.00053,2.1044352
12,0.155,0.339,0.064,,2.1892248000000003,0.00064,2.1232248000000005
13,0.168,0.342,0.078,,2.1940144000000004,0.00078,2.1420144000000003
14,0.181,0.346,0.089,,2.2080672,0.00089,2.1670672
15,0.194,0.348,0.1,,2.2095936,0.001,2.1795936
16,0.207,0.35,0.112,,2.21012,0.0011200000000000001,2.19212
17,0.22,0.351,0.122,,2.2063832,0.00122,2.1983832
18,0.233,0.355,0.136,,2.2174359999999997,0.00136,2.223436
19,0.246,0.359,0.146,,2.2324888,0.00146,2.2484888
20,0.259,0.361,0.155,,2.2360152,0.00155,2.2610152
21,0.272,0.363,0.167,,2.2365416000000002,0.00167,2.2735416
22,0.285,0.365,0.178,,2.238068,0.00178,2.286068
23,0.298,0.369,0.188,,2.2531207999999996,0.00188,2.3111208
24,0.311,0.373,0.199,,2.2671736,0.00199,2.3361736
25,0.324,0.374,0.21,,2.2624368,0.0021,2.3424368
26,0.336,0.375,0.221,,2.2577,0.00221,2.3487
27,0.349,0.379,0.234,,2.2697528,0.00234,2.3737528
28,0.362,0.381,0.246,,2.2702792,0.00246,2.3862792
