DAC_Bits,Voltaje_DAC,Mediana_ADC1(34)_V,Mediana_ADC2(35)_V,Unnamed: 4,Vled,Iled,Vcc
0,0.0,0.182,0.0,,1.2699023999999999,0.0,1.1399024
1,0.013,0.186,0.0,,1.2949552,0.0,1.1649552
2,0.026,0.189,0.0,,1.3137448000000003,0.0,1.1837448000000002
3,0.039,0.193,0.0,,1.3387976,0.0,1.2087976
4,0.052,0.193,0.0,,1.3387976,0.0,1.2087976
5,0.065,0.194,0.0,,1.3450608000000002,0.0,1.2150608
6,0.078,0.197,0.007,,1.3568504000000003,7.000000000000001e-05,1.2338504000000001
7,0.091,0.201,0.017,,1.3719032000000002,0.00017,1.2589032000000002
8,0.104,0.202,0.027,,1.3681664000000002,0.00027,1.2651664000000002
9,0.116,0.205,0.039,,1.374956,0.00039,1.283956
10,0.129,0.208,0.051,,1.3817456,0.0005099999999999999,1.3027456
11,0.142,0.21,0.063,,1.382272,0.00063,1.315272
12,0.155,0.212,0.07,,1.3877983999999999,0.0007000000000000001,1.3277984
13,0.168,0.216,0.083,,1.3998512,0.00083,1.3528512000000001
14,0.181,0.218,0.092,,1.4033775999999998,0.00092,1.3653776
15,0.194,0.219,0.107,,1.3946408,0.00107,1.3716408
16,0.207,0.221,0.117,,1.3971672000000002,0.00117,1.3841672
17,0.22,0.223,0.131,,1.3956936,0.00131,1.3966936
18,0.233,0.226,0.142,,1.4034832000000002,0.0014199999999999998,1.4154832000000002
19,0.246,0.228,0.151,,1.4070096000000003,0.00151,1.4280096000000002
20,0.259,0.23,0.162,,1.4085360000000002,0.0016200000000000001,1.440536
21,0.272,0.232,0.173,,1.4100624000000002,0.0017299999999999998,1.4530624
22,0.285,0.235,0.183,,1.4188519999999998,0.00183,1.471852
23,0.298,0.238,0.195,,1.4256416,0.0019500000000000001,1.4906416
24,0.311,0.241,0.207,,1.4324312,0.00207,1.5094312
25,0.324,0.243,0.219,,1.4329576,0.00219,1.5219576000000001
26,0.336,0.245,0.231,,1.433484,0.00231,1.534484
27,0.349,0.245,0.242,,1.4224839999999999,0.00242,1.534484
28,0.362,0.249,0.251,,1.4385368,0.00251,1.5595368
29,0.375,0.251,0.262,,1.4400632,0.00262,1.5720632
30,0.388,0.254,0.275,,1.4458528,0.0027500000000000003,1.5908528000000002
31,0.401,0.255,0.285,,1.4421160000000004,0.0028499999999999997,1.5971160000000002
32,0.414,0.258,0.301,,1.4449056000000002,0.00301,1.6159056
33,0.427,0.259,0.312,,1.4401688,0.00312,1.6221688
34,0.44,0.263,0.323,,1.4542216000000003,0.0032300000000000002,1.6472216000000002
35,0.453,0.264,0.334,,1.4494848,0.00334,1.6534848000000002
36,0.466,0.268,0.348,,1.4605376000000003,0.0034799999999999996,1.6785376000000003
37,0.479,0.27,0.359,,1.4620640000000003,0.00359,1.6910640000000001
38,0.492,0.271,0.368,,1.4593272000000002,0.00368,1.6973272000000001
39,0.505,0.272,0.379,,1.4545904000000003,0.00379,1.7035904000000002
