DAC_Bits,Voltaje_DAC,Mediana_ADC1(34)_V,Mediana_ADC2(35)_V,Unnamed: 4,Vled,Iled,Vcc
0,0.0,0.175,0.0,,1.22606,0.0,1.09606
1,0.013,0.179,0.0,,1.2511128,0.0,1.1211128
2,0.026,0.182,0.0,,1.2699023999999999,0.0,1.1399024
3,0.039,0.183,0.0,,1.2761656000000001,0.0,1.1461656
4,0.052,0.188,0.0,,1.3074816,0.0,1.1774816000000001
5,0.065,0.19,0.0,,1.320008,0.0,1.1900080000000002
6,0.078,0.193,0.006,,1.3327976000000001,6e-05,1.2087976
7,0.091,0.193,0.017,,1.3217976,0.00017,1.2087976
8,0.104,0.195,0.029,,1.322324,0.00029,1.221324
9,0.116,0.201,0.039,,1.3499032000000004,0.00039,1.2589032000000002
10,0.129,0.202,0.052,,1.3431664000000003,0.00052,1.2651664000000002
11,0.142,0.205,0.064,,1.3499560000000002,0.00064,1.283956
12,0.155,0.206,0.073,,1.3472192,0.00073,1.2902192
13,0.168,0.207,0.085,,1.3414823999999999,0.0008500000000000001,1.2964824
14,0.181,0.21,0.094,,1.3512719999999998,0.00094,1.315272
15,0.194,0.214,0.107,,1.3633248,0.00107,1.3403248
16,0.207,0.218,0.117,,1.3783775999999999,0.00117,1.3653776
17,0.22,0.218,0.131,,1.3643776,0.00131,1.3653776
18,0.233,0.219,0.142,,1.3596408000000002,0.0014199999999999998,1.3716408
19,0.246,0.222,0.151,,1.3694304000000002,0.00151,1.3904304
20,0.259,0.224,0.164,,1.3689568000000003,0.00164,1.4029568000000001
21,0.272,0.227,0.172,,1.3797464000000002,0.00172,1.4217464000000002
22,0.285,0.23,0.186,,1.3845360000000002,0.0018599999999999999,1.440536
23,0.298,0.232,0.196,,1.3870624,0.00196,1.4530624
24,0.311,0.235,0.209,,1.392852,0.00209,1.471852
25,0.324,0.236,0.219,,1.3891152,0.00219,1.4781152
26,0.336,0.239,0.23,,1.3969048000000002,0.0023,1.4969048
27,0.349,0.243,0.243,,1.4089576,0.00243,1.5219576000000001
28,0.362,0.245,0.251,,1.413484,0.00251,1.534484
29,0.375,0.245,0.263,,1.401484,0.00263,1.534484
30,0.388,0.247,0.275,,1.4020104,0.0027500000000000003,1.5470104
31,0.401,0.249,0.287,,1.4025368,0.0028699999999999997,1.5595368
32,0.414,0.254,0.302,,1.4188528000000002,0.00302,1.5908528000000002
33,0.427,0.256,0.313,,1.4203792000000002,0.00313,1.6033792000000002
34,0.44,0.258,0.323,,1.4229056,0.0032300000000000002,1.6159056
35,0.453,0.259,0.334,,1.4181688000000001,0.00334,1.6221688
36,0.466,0.26,0.347,,1.411432,0.0034699999999999996,1.628432
37,0.479,0.264,0.359,,1.4244848,0.00359,1.6534848000000002
38,0.492,0.266,0.368,,1.4280112000000003,0.00368,1.6660112000000002
39,0.505,0.268,0.38,,1.4285376000000003,0.0038,1.6785376000000003
40,0.518,0.271,0.39,,1.4373272,0.0039000000000000003,1.6973272000000001
41,0.531,0.272,0.401,,1.4325904,0.0040100000000000005,1.7035904000000002
42,0.544,0.273,0.419,,1.4208536,0.00419,1.7098536000000002
43,0.556,0.275,0.427,,1.42538,0.0042699999999999995,1.7223800000000002
44,0.569,0.278,0.441,,1.4301696000000002,0.00441,1.7411696000000003
45,0.582,0.281,0.451,,1.4389592000000002,0.00451,1.7599592000000002
46,0.595,0.284,0.462,,1.4467488,0.00462,1.7787488
47,0.608,0.286,0.473,,1.4482751999999999,0.00473,1.7912751999999998
48,0.621,0.287,0.484,,1.4435384,0.00484,1.7975383999999999
49,0.634,0.291,0.496,,1.4565912,0.00496,1.8225912
50,0.647,0.293,0.508,,1.4571176000000001,0.00508,1.8351176
51,0.66,0.295,0.517,,1.4606439999999998,0.00517,1.847644
52,0.673,0.297,0.529,,1.4611703999999999,0.00529,1.8601704000000001
53,0.686,0.297,0.541,,1.4491703999999999,0.005410000000000001,1.8601704000000001
54,0.699,0.298,0.551,,1.4454335999999999,0.00551,1.8664336
55,0.712,0.301,0.562,,1.4532232,0.005620000000000001,1.8852232
56,0.725,0.305,0.576,,1.464276,0.0057599999999999995,1.910276
57,0.738,0.309,0.584,,1.4813288,0.00584,1.9353288000000002
58,0.751,0.309,0.597,,1.4683288,0.00597,1.9353288000000002
59,0.764,0.311,0.608,,1.4698552,0.0060799999999999995,1.9478552
60,0.776,0.313,0.62,,1.4703816,0.0062,1.9603816
61,0.789,0.316,0.632,,1.4771712,0.00632,1.9791712000000001
62,0.802,0.318,0.643,,1.4786976000000003,0.00643,1.9916976000000002
63,0.815,0.32,0.657,,1.477224,0.00657,2.0042240000000002
64,0.828,0.322,0.67,,1.4767504000000002,0.0067,2.0167504000000003
65,0.841,0.323,0.682,,1.4710136,0.0068200000000000005,2.0230136
66,0.854,0.325,0.695,,1.4705400000000002,0.00695,2.03554
67,0.867,0.33,0.708,,1.4888560000000002,0.0070799999999999995,2.066856
68,0.88,0.331,0.718,,1.4851192000000002,0.00718,2.0731192000000003
69,0.893,0.335,0.729,,1.4991720000000002,0.00729,2.0981720000000004
70,0.906,0.337,0.741,,1.4996984000000002,0.00741,2.1106984000000004
71,0.919,0.339,0.753,,1.5002248000000002,0.00753,2.1232248000000005
72,0.932,0.341,0.765,,1.5007511999999998,0.0076500000000000005,2.1357512
73,0.945,0.343,0.776,,1.5022776000000002,0.00776,2.1482776
74,0.958,0.346,0.787,,1.5100672,0.00787,2.1670672
75,0.971,0.348,0.798,,1.5115935999999999,0.007980000000000001,2.1795936
76,0.984,0.349,0.81,,1.5058567999999997,0.008100000000000001,2.1858568
77,0.996,0.351,0.823,,1.5053831999999998,0.00823,2.1983832
78,1.009,0.352,0.838,,1.4966464,0.00838,2.2046464
79,1.022,0.355,0.847,,1.5064359999999999,0.00847,2.223436
80,1.035,0.359,0.86,,1.5184888,0.0086,2.2484888
81,1.048,0.36,0.875,,1.5097519999999998,0.00875,2.254752
82,1.061,0.361,0.885,,1.5060152000000002,0.00885,2.2610152
83,1.074,0.363,0.894,,1.5095416,0.00894,2.2735416
84,1.087,0.365,0.905,,1.5110680000000003,0.00905,2.286068
85,1.1,0.369,0.917,,1.5241208,0.009170000000000001,2.3111208
86,1.113,0.37,0.931,,1.516384,0.00931,2.317384
87,1.126,0.373,0.941,,1.5251736,0.00941,2.3361736
88,1.139,0.374,0.953,,1.5194368000000003,0.00953,2.3424368
89,1.152,0.376,0.963,,1.5219632,0.00963,2.3549632000000003
90,1.165,0.378,0.976,,1.5214896000000002,0.00976,2.3674896000000003
91,1.178,0.38,0.987,,1.5230160000000001,0.00987,2.3800160000000004
92,1.191,0.383,0.998,,1.5308056000000003,0.00998,2.3988056
93,1.204,0.384,1.011,,1.5240688000000002,0.01011,2.4050688
94,1.216,0.387,1.019,,1.5348584000000005,0.01019,2.4238584000000003
95,1.229,0.388,1.032,,1.5281216,0.010320000000000001,2.4301216
96,1.242,0.392,1.047,,1.5381744000000004,0.01047,2.4551744
97,1.255,0.395,1.061,,1.542964,0.01061,2.473964
98,1.268,0.397,1.071,,1.5454904000000003,0.010709999999999999,2.4864904
99,1.281,0.4,1.083,,1.5522800000000005,0.01083,2.5052800000000004
100,1.294,0.4,1.096,,1.5392800000000002,0.010960000000000001,2.5052800000000004
101,1.307,0.401,1.105,,1.5365432,0.011049999999999999,2.5115432
102,1.32,0.404,1.119,,1.5413328000000006,0.01119,2.5303328000000005
103,1.333,0.406,1.13,,1.5428592,0.0113,2.5428592
104,1.346,0.409,1.14,,1.5516488000000002,0.011399999999999999,2.5616488
105,1.359,0.411,1.15,,1.5541752,0.0115,2.5741752
106,1.372,0.415,1.162,,1.567228,0.011619999999999998,2.599228
107,1.385,0.418,1.174,,1.5740176,0.011739999999999999,2.6180176
108,1.398,0.421,1.185,,1.5818072,0.011850000000000001,2.6368072000000002
109,1.411,0.424,1.199,,1.5865968000000001,0.01199,2.6555968
110,1.424,0.425,1.209,,1.5828599999999997,0.01209,2.66186
111,1.436,0.426,1.222,,1.5761232,0.01222,2.6681232
