DAC_Bits,Voltaje_DAC,Mediana_ADC1(34)_V,Mediana_ADC2(35)_V,Unnamed: 4,Vled,Iled,Vcc
0,0.0,0.264,0.0,,1.7834848,0.0,1.6534848000000002
1,0.013,0.268,0.0,,1.8085376000000002,0.0,1.6785376000000003
2,0.026,0.271,0.0,,1.8273272,0.0,1.6973272000000001
3,0.039,0.272,0.0,,1.8335904000000003,0.0,1.7035904000000002
4,0.052,0.276,0.0,,1.8586432000000004,0.0,1.7286432000000003
5,0.065,0.28,0.0,,1.8836960000000005,0.0,1.7536960000000004
6,0.078,0.284,0.002,,1.9067488,2e-05,1.7787488
7,0.091,0.288,0.012,,1.9218015999999998,0.00012,1.8038016
8,0.104,0.29,0.022,,1.924328,0.00021999999999999998,1.816328
9,0.116,0.294,0.035,,1.9363808000000002,0.00035000000000000005,1.8413808
10,0.129,0.297,0.046,,1.9441704,0.00046,1.8601704000000001
11,0.142,0.298,0.06,,1.9364336,0.0006,1.8664336
12,0.155,0.301,0.064,,1.9512231999999998,0.00064,1.8852232
13,0.168,0.305,0.079,,1.9612760000000002,0.00079,1.910276
14,0.181,0.309,0.09,,1.9753288000000002,0.0009,1.9353288000000002
15,0.194,0.309,0.102,,1.9633288000000002,0.0010199999999999999,1.9353288000000002
16,0.207,0.313,0.114,,1.9763815999999998,0.00114,1.9603816
17,0.22,0.317,0.121,,1.9944344000000003,0.00121,1.9854344000000002
18,0.233,0.32,0.138,,1.9962240000000002,0.0013800000000000002,2.0042240000000002
19,0.246,0.322,0.146,,2.0007504000000003,0.00146,2.0167504000000003
20,0.259,0.323,0.156,,1.9970136000000003,0.00156,2.0230136
21,0.272,0.326,0.168,,2.0038032000000006,0.00168,2.0418032000000004
22,0.285,0.328,0.181,,2.0033296,0.00181,2.0543296
23,0.298,0.333,0.193,,2.0226456,0.00193,2.0856456000000003
24,0.311,0.334,0.201,,2.0209088,0.00201,2.0919088
25,0.324,0.338,0.213,,2.0339616,0.00213,2.1169616
26,0.336,0.341,0.225,,2.0407512,0.0022500000000000003,2.1357512
27,0.349,0.344,0.236,,2.0485408,0.0023599999999999997,2.1545408
28,0.362,0.346,0.247,,2.0500672,0.00247,2.1670672
29,0.375,0.348,0.258,,2.0515936,0.0025800000000000003,2.1795936
30,0.388,0.35,0.27,,2.05212,0.0027,2.19212
31,0.401,0.353,0.281,,2.0599095999999997,0.0028100000000000004,2.2109096
32,0.414,0.357,0.297,,2.0689624,0.00297,2.2359624
33,0.427,0.359,0.306,,2.0724888,0.00306,2.2484888
34,0.44,0.362,0.318,,2.0792783999999997,0.00318,2.2672784
35,0.453,0.363,0.328,,2.0755416,0.00328,2.2735416
36,0.466,0.366,0.339,,2.0833312,0.0033900000000000002,2.2923312
37,0.479,0.37,0.351,,2.096384,0.0035099999999999997,2.317384
38,0.492,0.373,0.361,,2.1051736,0.00361,2.3361736
39,0.505,0.374,0.374,,2.0984368,0.00374,2.3424368
40,0.518,0.376,0.386,,2.0989632,0.00386,2.3549632000000003
41,0.531,0.377,0.396,,2.0952264,0.00396,2.3612264
42,0.544,0.38,0.409,,2.1010160000000004,0.00409,2.3800160000000004
43,0.556,0.383,0.425,,2.1038056000000003,0.00425,2.3988056
44,0.569,0.385,0.431,,2.110332,0.00431,2.4113320000000003
45,0.582,0.389,0.446,,2.1203848000000005,0.00446,2.4363848000000004
46,0.595,0.392,0.454,,2.1311744,0.00454,2.4551744
47,0.608,0.392,0.467,,2.1181744,0.0046700000000000005,2.4551744
48,0.621,0.397,0.479,,2.1374904,0.00479,2.4864904
49,0.634,0.4,0.489,,2.1462800000000004,0.00489,2.5052800000000004
50,0.647,0.401,0.503,,2.1385432,0.00503,2.5115432
51,0.66,0.402,0.513,,2.1348064000000004,0.00513,2.5178064000000004
52,0.673,0.405,0.523,,2.143596,0.00523,2.5365960000000003
53,0.686,0.409,0.533,,2.1586488,0.0053300000000000005,2.5616488
54,0.699,0.411,0.545,,2.1591752,0.00545,2.5741752
55,0.712,0.417,0.557,,2.1847544,0.00557,2.6117544
56,0.725,0.419,0.569,,2.1852808,0.00569,2.6242808
57,0.738,0.421,0.58,,2.1868072,0.0058,2.6368072000000002
58,0.751,0.425,0.592,,2.1998599999999997,0.00592,2.66186
59,0.764,0.425,0.604,,2.1878599999999997,0.00604,2.66186
60,0.776,0.428,0.612,,2.1986496,0.00612,2.6806496
61,0.789,0.431,0.626,,2.2034392,0.00626,2.6994392
62,0.802,0.434,0.637,,2.2112288,0.00637,2.7182288000000003
63,0.815,0.436,0.647,,2.2137551999999996,0.00647,2.7307552
64,0.828,0.439,0.667,,2.2125448,0.006670000000000001,2.7495448000000002
65,0.841,0.441,0.675,,2.2170712000000004,0.006750000000000001,2.7620712000000003
66,0.854,0.446,0.691,,2.2323872000000002,0.0069099999999999995,2.7933872
67,0.867,0.447,0.703,,2.2266504,0.00703,2.7996504
68,0.88,0.45,0.711,,2.2374400000000003,0.00711,2.8184400000000003
69,0.893,0.451,0.723,,2.2317032,0.0072299999999999994,2.8247032
70,0.906,0.454,0.735,,2.2384928000000004,0.00735,2.8434928000000004
71,0.919,0.456,0.747,,2.2390192000000004,0.00747,2.8560192000000004
72,0.932,0.458,0.759,,2.2395456000000005,0.00759,2.8685456000000005
73,0.945,0.462,0.771,,2.2525984,0.00771,2.8935984
74,0.958,0.463,0.779,,2.2508616000000004,0.00779,2.8998616000000004
75,0.971,0.464,0.791,,2.2451248,0.00791,2.9061248
76,0.984,0.466,0.803,,2.2456512,0.00803,2.9186512000000002
77,0.996,0.469,0.813,,2.2544408000000002,0.00813,2.9374408
78,1.009,0.473,0.831,,2.2614936,0.00831,2.9624936
79,1.022,0.475,0.841,,2.2640200000000004,0.008409999999999999,2.97502
80,1.035,0.477,0.855,,2.2625463999999997,0.00855,2.9875464
81,1.048,0.477,0.865,,2.2525464,0.00865,2.9875464
82,1.061,0.479,0.877,,2.2530728,0.00877,3.0000728
83,1.074,0.482,0.888,,2.2608624,0.00888,3.0188624
84,1.087,0.484,0.9,,2.2613888,0.009000000000000001,3.0313888
85,1.1,0.488,0.912,,2.2744416,0.00912,3.0564416
86,1.113,0.49,0.924,,2.274968,0.00924,3.068968
87,1.126,0.492,0.934,,2.2774943999999997,0.009340000000000001,3.0814944
88,1.139,0.495,0.947,,2.283284,0.00947,3.1002840000000003
89,1.152,0.497,0.958,,2.2848104000000005,0.00958,3.1128104000000003
90,1.165,0.499,0.967,,2.2883368,0.00967,3.1253368000000004
91,1.178,0.501,0.978,,2.2898632,0.00978,3.1378632
92,1.191,0.503,0.992,,2.2883896,0.00992,3.1503896
93,1.204,0.505,1.002,,2.290916,0.01002,3.162916
94,1.216,0.508,1.015,,2.2967056,0.01015,3.1817056000000004
95,1.229,0.51,1.024,,2.3002320000000003,0.01024,3.1942320000000004
96,1.242,0.515,1.044,,2.311548,0.01044,3.2255480000000003
97,1.255,0.516,1.055,,2.3068112000000003,0.010549999999999999,3.2318112
98,1.268,0.517,1.063,,2.3050744000000005,0.010629999999999999,3.2380744000000004
99,1.281,0.52,1.077,,2.309864,0.01077,3.256864
100,1.294,0.521,1.088,,2.3051272000000003,0.01088,3.2631272000000004
101,1.307,0.525,1.096,,2.32218,0.010960000000000001,3.28818
102,1.32,0.528,1.11,,2.3269696,0.0111,3.3069696000000004
103,1.333,0.529,1.122,,2.3212327999999998,0.01122,3.3132328
104,1.346,0.529,1.133,,2.3102328,0.01133,3.3132328
105,1.359,0.532,1.147,,2.3150224,0.011470000000000001,3.3320224000000005
106,1.372,0.534,1.153,,2.3215488000000004,0.01153,3.3445488000000005
107,1.385,0.538,1.168,,2.3316016,0.01168,3.3696016
108,1.398,0.54,1.178,,2.334128,0.011779999999999999,3.3821280000000002
109,1.411,0.542,1.189,,2.3356544,0.011890000000000001,3.3946544000000003
110,1.424,0.544,1.201,,2.3361808,0.01201,3.4071808000000003
111,1.436,0.547,1.214,,2.3419704000000006,0.01214,3.4259704000000006
112,1.449,0.55,1.225,,2.3497600000000003,0.01225,3.4447600000000005
113,1.462,0.553,1.237,,2.3565496,0.01237,3.4635496000000003
114,1.475,0.554,1.252,,2.3478128000000007,0.01252,3.4698128000000006
115,1.488,0.555,1.263,,2.3430760000000004,0.012629999999999999,3.4760760000000004
116,1.501,0.556,1.275,,2.3373392000000006,0.01275,3.4823392000000006
117,1.514,0.559,1.285,,2.3461288000000007,0.012849999999999999,3.5011288000000005
118,1.527,0.562,1.297,,2.3529184,0.012969999999999999,3.5199184000000003
119,1.54,0.566,1.308,,2.3669712,0.013080000000000001,3.5449712
120,1.553,0.567,1.319,,2.3622343999999997,0.01319,3.5512344
121,1.566,0.567,1.328,,2.3532344,0.01328,3.5512344
122,1.579,0.57,1.342,,2.358024,0.013420000000000001,3.570024
123,1.592,0.573,1.354,,2.3648135999999997,0.013540000000000002,3.5888136
124,1.605,0.576,1.366,,2.3716031999999996,0.01366,3.6076032
125,1.618,0.579,1.38,,2.3763928,0.0138,3.6263928
126,1.631,0.58,1.39,,2.372656,0.0139,3.632656
127,1.644,0.581,1.401,,2.3679192000000002,0.01401,3.6389192
128,1.656,0.589,1.44,,2.3790248,0.0144,3.6890248
129,1.669,0.592,1.451,,2.3868144,0.01451,3.7078144
130,1.682,0.595,1.462,,2.394604,0.01462,3.726604
131,1.695,0.596,1.476,,2.3868671999999997,0.01476,3.7328672
132,1.708,0.6,1.485,,2.40292,0.01485,3.75792
133,1.721,0.602,1.496,,2.4044464,0.01496,3.7704464
134,1.734,0.605,1.509,,2.4102360000000003,0.01509,3.7892360000000003
135,1.747,0.606,1.521,,2.4044992,0.01521,3.7954992
136,1.76,0.607,1.533,,2.3987624,0.01533,3.8017624
137,1.773,0.61,1.543,,2.407552,0.01543,3.820552
138,1.786,0.612,1.556,,2.4070784,0.015560000000000001,3.8330784
139,1.799,0.614,1.564,,2.4116048,0.01564,3.8456048000000003
140,1.812,0.616,1.575,,2.4131312000000005,0.01575,3.8581312000000003
141,1.825,0.618,1.588,,2.4126576,0.015880000000000002,3.8706576000000004
142,1.838,0.62,1.599,,2.4141839999999997,0.01599,3.883184
143,1.851,0.623,1.612,,2.4199736,0.016120000000000002,3.9019736000000003
144,1.864,0.625,1.621,,2.4235,0.01621,3.9145000000000003
145,1.876,0.628,1.635,,2.4282896000000003,0.01635,3.9332896
146,1.889,0.63,1.646,,2.429816,0.01646,3.945816
147,1.902,0.632,1.661,,2.4273424,0.01661,3.9583424000000003
148,1.915,0.633,1.671,,2.4236056,0.01671,3.9646056
149,1.928,0.634,1.682,,2.4188688000000003,0.016819999999999998,3.9708688000000003
150,1.941,0.637,1.694,,2.4256584,0.01694,3.9896584
151,1.954,0.64,1.704,,2.4344480000000006,0.01704,4.0084480000000005
152,1.967,0.643,1.715,,2.4422376000000003,0.017150000000000002,4.0272376
153,1.98,0.645,1.728,,2.441764,0.01728,4.039764
154,1.993,0.647,1.741,,2.4412904,0.017410000000000002,4.0522904
155,2.006,0.65,1.75,,2.45108,0.0175,4.07108
156,2.019,0.653,1.762,,2.4578696,0.01762,4.0898696
157,2.032,0.654,1.77,,2.4561328000000002,0.0177,4.0961328
158,2.045,0.657,1.783,,2.4619224,0.01783,4.1149224
159,2.058,0.658,1.794,,2.4571856000000003,0.01794,4.1211856000000004
160,2.071,0.661,1.81,,2.4599752,0.0181,4.1399752
161,2.084,0.662,1.82,,2.4562384,0.0182,4.1462384000000005
162,2.096,0.665,1.832,,2.4630280000000004,0.01832,4.165028
163,2.109,0.669,1.845,,2.4750808000000006,0.01845,4.1900808000000005
164,2.122,0.67,1.854,,2.4723440000000005,0.01854,4.196344000000001
165,2.135,0.67,1.862,,2.4643440000000005,0.01862,4.196344000000001
166,2.148,0.673,1.877,,2.4681336000000007,0.01877,4.215133600000001
167,2.161,0.676,1.888,,2.4759232000000004,0.018879999999999997,4.2339232
168,2.174,0.678,1.899,,2.477449600000001,0.01899,4.246449600000001
169,2.187,0.679,1.908,,2.4747128000000003,0.01908,4.2527128
170,2.2,0.682,1.919,,2.4825024,0.01919,4.2715024
171,2.213,0.683,1.933,,2.4747656000000005,0.01933,4.2777656
172,2.226,0.686,1.946,,2.4805552000000004,0.019459999999999998,4.2965552
173,2.239,0.688,1.957,,2.4820816,0.01957,4.3090816
174,2.252,0.691,1.968,,2.4898711999999996,0.01968,4.3278712
175,2.265,0.692,1.977,,2.4871343999999995,0.01977,4.3341344
176,2.278,0.695,1.991,,2.4919239999999996,0.01991,4.352924
177,2.291,0.697,2.003,,2.4924504,0.020030000000000003,4.3654504
178,2.304,0.699,2.012,,2.4959767999999998,0.02012,4.3779768
179,2.316,0.702,2.024,,2.5027663999999996,0.02024,4.3967664
