dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,current,voltage,V_led,Iled
0,0.0,481,0.388,59,0.048,0.00388,-0.34,2.2800000000000002,0.00048
1,0.013,483,0.389,75,0.06,0.00389,-0.329,2.274,0.0006
2,0.026,486,0.392,90,0.073,0.00392,-0.319,2.2790000000000004,0.00073
3,0.039,492,0.396,107,0.086,0.00396,-0.31,2.2900000000000005,0.00086
4,0.052,495,0.399,117,0.094,0.00399,-0.305,2.3000000000000003,0.00094
5,0.065,496,0.4,135,0.109,0.004,-0.291,2.2910000000000004,0.00109
6,0.078,498,0.401,146,0.118,0.00401,-0.283,2.2880000000000003,0.0011799999999999998
7,0.091,503,0.405,160,0.129,0.00405,-0.276,2.301,0.0012900000000000001
8,0.104,509,0.41,181,0.146,0.0041,-0.264,2.314,0.00146
9,0.116,515,0.415,192,0.155,0.00415,-0.26,2.335,0.00155
10,0.129,518,0.417,208,0.168,0.00417,-0.249,2.3339999999999996,0.00168
11,0.142,525,0.423,221,0.178,0.00423,-0.245,2.36,0.00178
12,0.155,528,0.425,235,0.189,0.00425,-0.236,2.3609999999999998,0.00189
13,0.168,528,0.425,250,0.201,0.00425,-0.224,2.3489999999999998,0.00201
14,0.181,531,0.428,269,0.217,0.00428,-0.211,2.351,0.00217
15,0.194,537,0.433,281,0.226,0.00433,-0.207,2.372,0.00226
16,0.207,539,0.434,300,0.242,0.00434,-0.192,2.362,0.00242
17,0.22,544,0.438,314,0.253,0.00438,-0.185,2.375,0.00253
18,0.233,546,0.44,327,0.264,0.0044,-0.176,2.3760000000000003,0.00264
19,0.246,551,0.444,339,0.273,0.00444,-0.171,2.391,0.0027300000000000002
20,0.259,554,0.446,354,0.285,0.00446,-0.161,2.391,0.0028499999999999997
21,0.272,559,0.45,371,0.299,0.0045,-0.151,2.4010000000000002,0.00299
22,0.285,560,0.451,384,0.309,0.00451,-0.142,2.397,0.00309
23,0.298,562,0.453,400,0.322,0.00453,-0.131,2.396,0.00322
24,0.311,568,0.458,415,0.334,0.00458,-0.124,2.414,0.00334
25,0.324,571,0.46,429,0.346,0.0046,-0.114,2.414,0.0034599999999999995
26,0.336,574,0.463,442,0.356,0.00463,-0.107,2.422,0.00356
27,0.349,576,0.464,458,0.369,0.00464,-0.095,2.415,0.00369
28,0.362,579,0.467,475,0.383,0.00467,-0.084,2.419,0.00383
29,0.375,583,0.47,489,0.394,0.0047,-0.076,2.4259999999999997,0.00394
30,0.388,587,0.473,501,0.404,0.00473,-0.069,2.434,0.00404
31,0.401,592,0.477,521,0.42,0.00477,-0.057,2.442,0.0042
32,0.414,592,0.477,543,0.438,0.00477,-0.039,2.424,0.00438
33,0.427,593,0.478,555,0.447,0.00478,-0.031,2.421,0.00447
34,0.44,597,0.481,573,0.462,0.00481,-0.019,2.424,0.00462
35,0.453,603,0.486,589,0.475,0.00486,-0.011,2.441,0.00475
36,0.466,607,0.489,598,0.482,0.00489,-0.007,2.452,0.00482
37,0.479,608,0.49,618,0.498,0.0049,0.008,2.442,0.00498
38,0.492,611,0.492,629,0.507,0.00492,0.015,2.445,0.00507
39,0.505,617,0.497,643,0.518,0.00497,0.021,2.4640000000000004,0.005180000000000001
40,0.518,620,0.5,658,0.53,0.005,0.03,2.4699999999999998,0.0053
41,0.531,622,0.501,673,0.542,0.00501,0.041,2.4640000000000004,0.00542
42,0.544,624,0.503,688,0.554,0.00503,0.051,2.4639999999999995,0.005540000000000001
43,0.556,627,0.505,704,0.567,0.00505,0.062,2.463,0.00567
44,0.569,631,0.508,721,0.581,0.00508,0.073,2.467,0.005809999999999999
45,0.582,635,0.512,736,0.593,0.00512,0.081,2.479,0.0059299999999999995
46,0.595,639,0.515,751,0.605,0.00515,0.09,2.485,0.00605
47,0.608,640,0.516,766,0.617,0.00516,0.101,2.479,0.00617
48,0.621,642,0.517,782,0.63,0.00517,0.113,2.4720000000000004,0.0063
49,0.634,647,0.521,790,0.637,0.00521,0.116,2.4890000000000003,0.00637
50,0.647,647,0.521,805,0.649,0.00521,0.128,2.4770000000000003,0.00649
51,0.66,655,0.528,823,0.663,0.00528,0.135,2.505,0.0066300000000000005
52,0.673,656,0.529,841,0.678,0.00529,0.149,2.4960000000000004,0.0067800000000000004
53,0.686,657,0.529,852,0.687,0.00529,0.158,2.487,0.00687
54,0.699,661,0.533,869,0.7,0.00533,0.167,2.498,0.006999999999999999
55,0.712,665,0.536,883,0.712,0.00536,0.176,2.5040000000000004,0.00712
56,0.725,667,0.538,896,0.722,0.00538,0.184,2.5060000000000002,0.00722
57,0.738,672,0.542,912,0.735,0.00542,0.193,2.5170000000000003,0.00735
58,0.751,674,0.543,928,0.748,0.00543,0.205,2.51,0.00748
59,0.764,678,0.546,944,0.761,0.00546,0.215,2.515,0.0076100000000000004
60,0.776,679,0.547,958,0.772,0.00547,0.225,2.51,0.00772
61,0.789,685,0.552,975,0.786,0.00552,0.234,2.5260000000000002,0.00786
62,0.802,687,0.554,987,0.795,0.00554,0.241,2.5290000000000004,0.00795
63,0.815,690,0.556,1005,0.81,0.00556,0.254,2.5260000000000002,0.008100000000000001
64,0.828,691,0.557,1015,0.818,0.00557,0.261,2.5240000000000005,0.00818
65,0.841,695,0.56,1037,0.836,0.0056,0.276,2.5240000000000005,0.00836
66,0.854,698,0.562,1050,0.846,0.00562,0.284,2.5260000000000002,0.00846
67,0.867,702,0.566,1068,0.861,0.00566,0.295,2.535,0.00861
68,0.88,704,0.567,1077,0.868,0.00567,0.301,2.534,0.00868
69,0.893,707,0.57,1099,0.886,0.0057,0.316,2.534,0.00886
70,0.906,709,0.571,1109,0.894,0.00571,0.323,2.5319999999999996,0.00894
71,0.919,712,0.574,1123,0.905,0.00574,0.331,2.5389999999999997,0.00905
72,0.932,719,0.579,1138,0.917,0.00579,0.338,2.5569999999999995,0.009170000000000001
73,0.945,720,0.58,1159,0.934,0.0058,0.354,2.5459999999999994,0.009340000000000001
74,0.958,720,0.58,1171,0.944,0.0058,0.364,2.5359999999999996,0.009439999999999999
75,0.971,724,0.583,1193,0.961,0.00583,0.378,2.537,0.00961
76,0.984,726,0.585,1202,0.969,0.00585,0.384,2.541,0.009689999999999999
77,0.996,730,0.588,1216,0.98,0.00588,0.392,2.5479999999999996,0.0098
78,1.009,735,0.592,1237,0.997,0.00592,0.405,2.5549999999999997,0.00997
79,1.022,738,0.595,1251,1.008,0.00595,0.413,2.562,0.01008
80,1.035,739,0.596,1258,1.014,0.00596,0.418,2.5619999999999994,0.01014
81,1.048,742,0.598,1279,1.031,0.00598,0.433,2.5570000000000004,0.01031
82,1.061,746,0.601,1291,1.04,0.00601,0.439,2.566,0.0104
83,1.074,750,0.604,1306,1.052,0.00604,0.448,2.5719999999999996,0.01052
84,1.087,752,0.606,1322,1.065,0.00606,0.459,2.571,0.01065
85,1.1,754,0.608,1335,1.076,0.00608,0.468,2.5719999999999996,0.01076
86,1.113,755,0.608,1353,1.09,0.00608,0.482,2.558,0.0109
87,1.126,759,0.612,1369,1.103,0.00612,0.491,2.569,0.01103
88,1.139,765,0.616,1383,1.115,0.00616,0.499,2.5809999999999995,0.01115
89,1.152,768,0.619,1395,1.124,0.00619,0.505,2.59,0.011240000000000002
90,1.165,769,0.62,1415,1.14,0.0062,0.52,2.58,0.011399999999999999
91,1.178,773,0.623,1425,1.148,0.00623,0.525,2.59,0.011479999999999999
92,1.191,774,0.624,1440,1.16,0.00624,0.536,2.5839999999999996,0.0116
93,1.204,782,0.63,1458,1.175,0.0063,0.545,2.6050000000000004,0.01175
94,1.216,784,0.632,1474,1.188,0.00632,0.556,2.604,0.01188
95,1.229,785,0.633,1488,1.199,0.00633,0.566,2.599,0.01199
96,1.242,789,0.636,1510,1.217,0.00636,0.581,2.5989999999999998,0.01217
97,1.255,790,0.637,1523,1.227,0.00637,0.59,2.5949999999999998,0.012270000000000001
98,1.268,795,0.641,1535,1.237,0.00641,0.596,2.609,0.01237
99,1.281,798,0.643,1553,1.252,0.00643,0.609,2.606,0.01252
100,1.294,800,0.645,1572,1.267,0.00645,0.622,2.603,0.012669999999999999
101,1.307,805,0.649,1584,1.276,0.00649,0.627,2.6180000000000003,0.01276
102,1.32,807,0.65,1600,1.289,0.0065,0.639,2.6110000000000007,0.012889999999999999
103,1.333,809,0.652,1616,1.302,0.00652,0.65,2.61,0.01302
104,1.346,814,0.656,1627,1.311,0.00656,0.655,2.625,0.01311
105,1.359,816,0.658,1647,1.327,0.00658,0.669,2.6210000000000004,0.013269999999999999
106,1.372,817,0.658,1662,1.339,0.00658,0.681,2.6090000000000004,0.013389999999999999
107,1.385,821,0.662,1676,1.351,0.00662,0.689,2.6210000000000004,0.01351
108,1.398,823,0.663,1692,1.364,0.00663,0.701,2.614,0.013640000000000001
109,1.411,829,0.668,1708,1.376,0.00668,0.708,2.632,0.01376
110,1.424,830,0.669,1723,1.388,0.00669,0.719,2.6260000000000003,0.013879999999999998
111,1.436,834,0.672,1737,1.4,0.00672,0.728,2.632,0.013999999999999999
112,1.449,836,0.674,1750,1.41,0.00674,0.736,2.6340000000000003,0.0141
113,1.462,839,0.676,1766,1.423,0.00676,0.747,2.633,0.01423
114,1.475,841,0.678,1777,1.432,0.00678,0.754,2.6360000000000006,0.01432
115,1.488,846,0.682,1793,1.445,0.00682,0.763,2.6470000000000002,0.014450000000000001
