dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
0,0.0,256,0.206,16,0.013,1.223,0.00013
1,0.013,259,0.209,37,0.03,1.224,0.0003
2,0.026,262,0.211,50,0.04,1.226,0.0004
3,0.039,267,0.215,65,0.052,1.238,0.00052
4,0.052,270,0.218,80,0.064,1.244,0.00064
5,0.065,272,0.219,97,0.078,1.236,0.00078
6,0.078,272,0.219,109,0.088,1.226,0.0008799999999999999
7,0.091,276,0.222,125,0.101,1.231,0.00101
8,0.104,279,0.225,144,0.116,1.234,0.00116
9,0.116,283,0.228,153,0.123,1.245,0.00123
10,0.129,288,0.232,167,0.135,1.2570000000000001,0.00135
11,0.142,291,0.235,181,0.146,1.264,0.00146
12,0.155,294,0.237,198,0.16,1.262,0.0016
13,0.168,297,0.239,213,0.172,1.262,0.00172
14,0.181,301,0.243,231,0.186,1.272,0.0018599999999999999
15,0.194,304,0.245,242,0.195,1.275,0.0019500000000000001
16,0.207,304,0.245,256,0.206,1.264,0.0020599999999999998
17,0.22,306,0.247,272,0.219,1.263,0.00219
18,0.233,311,0.251,285,0.23,1.276,0.0023
19,0.246,314,0.253,302,0.243,1.275,0.00243
20,0.259,317,0.255,316,0.255,1.275,0.00255
21,0.272,321,0.259,334,0.269,1.2850000000000001,0.00269
22,0.285,321,0.259,345,0.278,1.276,0.0027800000000000004
23,0.298,323,0.26,363,0.293,1.2670000000000001,0.00293
24,0.311,327,0.264,374,0.301,1.2830000000000001,0.00301
25,0.324,331,0.267,391,0.315,1.2870000000000001,0.00315
26,0.336,335,0.27,404,0.326,1.294,0.0032600000000000003
27,0.349,337,0.272,419,0.338,1.294,0.00338
28,0.362,339,0.273,433,0.349,1.2890000000000001,0.0034899999999999996
29,0.375,339,0.273,449,0.362,1.2760000000000002,0.00362
30,0.388,345,0.278,464,0.374,1.294,0.00374
31,0.401,351,0.283,479,0.386,1.3119999999999998,0.00386
32,0.414,353,0.284,496,0.4,1.3039999999999998,0.004
33,0.427,354,0.285,517,0.417,1.293,0.00417
34,0.44,357,0.288,528,0.425,1.3029999999999997,0.00425
35,0.453,361,0.291,552,0.445,1.301,0.00445
36,0.466,363,0.293,560,0.451,1.307,0.00451
37,0.479,367,0.296,570,0.459,1.3169999999999997,0.00459
