dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
0,0.0,247,0.199,19,0.015,1.179,0.00015
1,0.013,251,0.202,36,0.029,1.1830000000000003,0.00029
2,0.026,256,0.206,48,0.039,1.197,0.00039
3,0.039,257,0.207,64,0.052,1.19,0.00052
4,0.052,261,0.21,80,0.064,1.196,0.00064
5,0.065,262,0.211,93,0.075,1.191,0.00075
6,0.078,266,0.214,110,0.089,1.195,0.00089
7,0.091,272,0.219,125,0.101,1.213,0.00101
8,0.104,272,0.219,140,0.113,1.201,0.00113
9,0.116,274,0.221,155,0.125,1.201,0.00125
10,0.129,279,0.225,165,0.133,1.217,0.00133
11,0.142,283,0.228,185,0.149,1.219,0.00149
12,0.155,284,0.229,197,0.159,1.215,0.00159
13,0.168,289,0.233,213,0.172,1.2260000000000002,0.00172
14,0.181,292,0.235,229,0.185,1.2249999999999999,0.00185
15,0.194,295,0.238,241,0.194,1.234,0.00194
16,0.207,299,0.241,254,0.205,1.2409999999999999,0.0020499999999999997
17,0.22,303,0.244,272,0.219,1.2449999999999999,0.00219
18,0.233,304,0.245,283,0.228,1.242,0.00228
19,0.246,305,0.246,303,0.244,1.232,0.00244
20,0.259,307,0.247,314,0.253,1.229,0.00253
21,0.272,313,0.252,330,0.266,1.246,0.00266
22,0.285,315,0.254,343,0.276,1.248,0.0027600000000000003
23,0.298,320,0.258,361,0.291,1.2570000000000001,0.00291
24,0.311,321,0.259,373,0.301,1.2530000000000001,0.00301
25,0.324,323,0.26,386,0.311,1.249,0.00311
26,0.336,326,0.263,406,0.327,1.2510000000000001,0.0032700000000000003
27,0.349,332,0.268,418,0.337,1.2710000000000001,0.00337
28,0.362,333,0.268,432,0.348,1.2600000000000002,0.0034799999999999996
29,0.375,336,0.271,449,0.362,1.2640000000000002,0.00362
30,0.388,336,0.271,464,0.374,1.2520000000000002,0.00374
31,0.401,339,0.273,474,0.382,1.2560000000000002,0.00382
32,0.414,343,0.276,496,0.4,1.2560000000000002,0.004
33,0.427,347,0.28,511,0.412,1.2680000000000002,0.0041199999999999995
34,0.44,351,0.283,529,0.426,1.272,0.00426
35,0.453,355,0.286,546,0.44,1.2759999999999998,0.0044
36,0.466,357,0.288,560,0.451,1.2769999999999997,0.00451
37,0.479,361,0.291,574,0.463,1.283,0.0046300000000000004
38,0.492,363,0.293,589,0.475,1.283,0.00475
39,0.505,368,0.297,599,0.483,1.299,0.00483
40,0.518,368,0.297,615,0.496,1.286,0.00496
41,0.531,370,0.298,633,0.51,1.2779999999999998,0.0051
42,0.544,375,0.302,649,0.523,1.2889999999999997,0.00523
43,0.556,378,0.305,663,0.534,1.296,0.00534
44,0.569,381,0.307,674,0.543,1.299,0.005430000000000001
45,0.582,383,0.309,692,0.558,1.296,0.005580000000000001
46,0.595,384,0.309,708,0.571,1.2830000000000001,0.00571
47,0.608,389,0.313,723,0.583,1.2950000000000002,0.005829999999999999
48,0.621,390,0.314,734,0.592,1.2919999999999998,0.00592
49,0.634,395,0.318,752,0.606,1.302,0.006059999999999999
50,0.647,399,0.322,763,0.615,1.317,0.00615
51,0.66,400,0.322,775,0.625,1.307,0.00625
52,0.673,401,0.323,797,0.642,1.2960000000000003,0.00642
53,0.686,403,0.325,807,0.65,1.3000000000000003,0.006500000000000001
54,0.699,406,0.327,823,0.663,1.2990000000000002,0.0066300000000000005
55,0.712,410,0.33,843,0.679,1.301,0.006790000000000001
56,0.725,411,0.331,854,0.688,1.2980000000000003,0.00688
57,0.738,418,0.337,870,0.701,1.3210000000000002,0.00701
58,0.751,419,0.338,886,0.714,1.314,0.00714
59,0.764,422,0.34,899,0.724,1.316,0.00724
60,0.776,425,0.342,917,0.739,1.3130000000000002,0.00739
61,0.789,429,0.346,933,0.752,1.3239999999999996,0.00752
62,0.802,431,0.347,946,0.762,1.3199999999999998,0.00762
63,0.815,432,0.348,961,0.774,1.314,0.00774
64,0.828,433,0.349,976,0.787,1.307,0.00787
65,0.841,437,0.352,987,0.795,1.3170000000000002,0.00795
66,0.854,439,0.354,1005,0.81,1.3139999999999996,0.008100000000000001
67,0.867,443,0.357,1017,0.82,1.322,0.008199999999999999
68,0.88,448,0.361,1041,0.839,1.327,0.00839
69,0.893,449,0.362,1054,0.849,1.3229999999999997,0.00849
70,0.906,453,0.365,1072,0.864,1.326,0.00864
71,0.919,454,0.366,1082,0.872,1.3239999999999998,0.00872
72,0.932,460,0.371,1101,0.887,1.339,0.00887
73,0.945,463,0.373,1113,0.897,1.341,0.00897
74,0.958,463,0.373,1131,0.911,1.327,0.00911
75,0.971,464,0.374,1145,0.923,1.3209999999999997,0.00923
76,0.984,467,0.376,1167,0.94,1.3160000000000003,0.009399999999999999
77,0.996,471,0.38,1177,0.948,1.3320000000000003,0.009479999999999999
78,1.009,474,0.382,1189,0.958,1.3339999999999999,0.00958
79,1.022,479,0.386,1202,0.969,1.347,0.009689999999999999
80,1.035,482,0.388,1216,0.98,1.3480000000000003,0.0098
81,1.048,482,0.388,1232,0.993,1.3350000000000004,0.00993
