dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
0,0.0,262,0.211,22,0.018,1.248,0.00017999999999999998
1,0.013,266,0.214,38,0.031,1.2530000000000001,0.00031
2,0.026,271,0.218,57,0.046,1.262,0.00046
3,0.039,273,0.22,67,0.054,1.266,0.00054
4,0.052,274,0.221,83,0.067,1.2590000000000001,0.00067
5,0.065,278,0.224,95,0.077,1.2670000000000001,0.00077
6,0.078,282,0.227,111,0.089,1.2730000000000001,0.00089
7,0.091,287,0.231,128,0.103,1.2830000000000001,0.0010299999999999999
8,0.104,289,0.233,142,0.114,1.284,0.00114
9,0.116,292,0.235,159,0.128,1.282,0.00128
10,0.129,295,0.238,176,0.142,1.286,0.0014199999999999998
11,0.142,299,0.241,186,0.15,1.296,0.0015
12,0.155,303,0.244,200,0.161,1.303,0.00161
13,0.168,304,0.245,215,0.173,1.297,0.0017299999999999998
14,0.181,307,0.247,230,0.185,1.297,0.00185
15,0.194,309,0.249,242,0.195,1.299,0.0019500000000000001
16,0.207,313,0.252,258,0.208,1.304,0.00208
17,0.22,315,0.254,272,0.219,1.305,0.00219
18,0.233,321,0.259,288,0.232,1.322,0.00232
19,0.246,323,0.26,304,0.245,1.315,0.00245
20,0.259,325,0.262,318,0.256,1.316,0.00256
21,0.272,330,0.266,329,0.265,1.331,0.00265
22,0.285,334,0.269,350,0.282,1.332,0.0028199999999999996
23,0.298,335,0.27,363,0.293,1.3270000000000002,0.00293
24,0.311,337,0.272,380,0.306,1.326,0.00306
25,0.324,341,0.275,390,0.314,1.336,0.00314
26,0.336,343,0.276,404,0.326,1.33,0.0032600000000000003
27,0.349,346,0.279,422,0.34,1.334,0.0034000000000000002
28,0.362,349,0.281,437,0.352,1.334,0.0035199999999999997
29,0.375,353,0.284,450,0.363,1.3409999999999997,0.00363
30,0.388,356,0.287,464,0.374,1.3479999999999999,0.00374
31,0.401,361,0.291,481,0.388,1.358,0.00388
32,0.414,363,0.293,497,0.401,1.357,0.0040100000000000005
33,0.427,367,0.296,509,0.41,1.3659999999999999,0.0040999999999999995
34,0.44,368,0.297,534,0.43,1.352,0.0043
35,0.453,369,0.297,550,0.443,1.339,0.00443
36,0.466,372,0.3,560,0.451,1.3489999999999998,0.00451
37,0.479,375,0.302,576,0.464,1.3479999999999999,0.00464
38,0.492,379,0.305,590,0.475,1.355,0.00475
39,0.505,383,0.309,607,0.489,1.3650000000000002,0.00489
40,0.518,385,0.31,624,0.503,1.3569999999999998,0.00503
41,0.531,387,0.312,635,0.512,1.3599999999999999,0.00512
42,0.544,391,0.315,654,0.527,1.363,0.00527
43,0.556,393,0.317,663,0.534,1.368,0.00534
44,0.569,399,0.322,684,0.551,1.3809999999999998,0.00551
45,0.582,400,0.322,695,0.56,1.3719999999999999,0.005600000000000001
46,0.595,402,0.324,714,0.575,1.369,0.00575
47,0.608,403,0.325,724,0.583,1.3670000000000002,0.005829999999999999
48,0.621,408,0.329,738,0.595,1.3790000000000002,0.0059499999999999996
49,0.634,413,0.333,754,0.608,1.3900000000000001,0.0060799999999999995
50,0.647,414,0.334,767,0.618,1.3860000000000001,0.00618
51,0.66,417,0.336,784,0.632,1.384,0.00632
52,0.673,421,0.339,799,0.644,1.3900000000000001,0.00644
53,0.686,423,0.341,814,0.656,1.3900000000000001,0.00656
54,0.699,429,0.346,827,0.666,1.4099999999999997,0.00666
55,0.712,431,0.347,843,0.679,1.4029999999999998,0.006790000000000001
56,0.725,431,0.347,855,0.689,1.3929999999999998,0.006889999999999999
57,0.738,433,0.349,875,0.705,1.3889999999999998,0.00705
58,0.751,435,0.351,885,0.713,1.3929999999999998,0.00713
59,0.764,441,0.355,905,0.729,1.4009999999999998,0.00729
60,0.776,443,0.357,918,0.74,1.402,0.0074
61,0.789,447,0.36,933,0.752,1.4080000000000001,0.00752
62,0.802,450,0.363,950,0.766,1.412,0.00766
63,0.815,451,0.363,965,0.778,1.4,0.0077800000000000005
64,0.828,455,0.367,976,0.787,1.415,0.00787
65,0.841,455,0.367,990,0.798,1.404,0.007980000000000001
66,0.854,460,0.371,1008,0.812,1.414,0.00812
67,0.867,463,0.373,1021,0.823,1.415,0.00823
68,0.88,464,0.374,1043,0.841,1.4029999999999998,0.008409999999999999
69,0.893,465,0.375,1062,0.856,1.3940000000000001,0.00856
70,0.906,469,0.378,1072,0.864,1.404,0.00864
71,0.919,474,0.382,1088,0.877,1.4149999999999998,0.00877
72,0.932,475,0.383,1103,0.889,1.409,0.00889
73,0.945,479,0.386,1117,0.9,1.416,0.009000000000000001
74,0.958,481,0.388,1134,0.914,1.4140000000000001,0.00914
75,0.971,486,0.392,1149,0.926,1.4260000000000002,0.009260000000000001
76,0.984,490,0.395,1163,0.937,1.433,0.00937
77,0.996,493,0.397,1181,0.952,1.4300000000000002,0.009519999999999999
78,1.009,495,0.399,1198,0.965,1.4290000000000003,0.009649999999999999
79,1.022,497,0.401,1209,0.974,1.4320000000000002,0.00974
80,1.035,499,0.402,1219,0.982,1.43,0.00982
81,1.048,499,0.402,1235,0.995,1.4169999999999998,0.00995
82,1.061,505,0.407,1253,1.01,1.4319999999999997,0.0101
83,1.074,509,0.41,1266,1.02,1.44,0.0102
84,1.087,511,0.412,1279,1.031,1.441,0.01031
85,1.1,519,0.418,1296,1.044,1.464,0.01044
86,1.113,524,0.422,1313,1.058,1.474,0.01058
87,1.126,526,0.424,1328,1.07,1.474,0.010700000000000001
88,1.139,528,0.425,1343,1.082,1.4679999999999997,0.010820000000000001
89,1.152,529,0.426,1358,1.094,1.462,0.01094
90,1.165,531,0.428,1374,1.107,1.461,0.01107
91,1.178,537,0.433,1390,1.12,1.4779999999999998,0.011200000000000002
92,1.191,537,0.433,1402,1.13,1.468,0.0113
93,1.204,543,0.438,1417,1.142,1.4860000000000002,0.01142
94,1.216,545,0.439,1431,1.153,1.4809999999999999,0.01153
95,1.229,547,0.441,1452,1.17,1.476,0.011699999999999999
96,1.242,553,0.446,1469,1.184,1.4920000000000002,0.01184
97,1.255,557,0.449,1482,1.194,1.5,0.01194
98,1.268,560,0.451,1494,1.204,1.502,0.01204
99,1.281,560,0.451,1509,1.216,1.49,0.012159999999999999
100,1.294,562,0.453,1526,1.23,1.488,0.0123
101,1.307,563,0.454,1546,1.246,1.4780000000000002,0.01246
102,1.32,567,0.457,1560,1.257,1.485,0.01257
103,1.333,573,0.462,1574,1.268,1.5040000000000002,0.01268
104,1.346,575,0.463,1589,1.281,1.497,0.012809999999999998
105,1.359,576,0.464,1605,1.293,1.4910000000000003,0.012929999999999999
106,1.372,579,0.467,1621,1.306,1.496,0.01306
107,1.385,581,0.468,1636,1.318,1.4900000000000002,0.01318
108,1.398,586,0.472,1648,1.328,1.5039999999999998,0.01328
109,1.411,587,0.473,1666,1.343,1.495,0.01343
110,1.424,592,0.477,1681,1.355,1.5070000000000001,0.01355
111,1.436,593,0.478,1701,1.371,1.4969999999999999,0.01371
112,1.449,594,0.479,1712,1.38,1.4939999999999998,0.0138
113,1.462,597,0.481,1723,1.388,1.4980000000000002,0.013879999999999998
114,1.475,599,0.483,1738,1.401,1.4969999999999997,0.01401
115,1.488,603,0.486,1751,1.411,1.505,0.014110000000000001
116,1.501,606,0.488,1774,1.43,1.498,0.0143
117,1.514,610,0.492,1785,1.438,1.514,0.014379999999999999
118,1.527,612,0.493,1801,1.451,1.5070000000000001,0.01451
119,1.54,615,0.496,1814,1.462,1.514,0.01462
120,1.553,620,0.5,1831,1.476,1.524,0.01476
121,1.566,622,0.501,1843,1.485,1.5210000000000001,0.01485
122,1.579,624,0.503,1858,1.497,1.5209999999999997,0.01497
123,1.592,626,0.504,1872,1.509,1.5150000000000001,0.01509
124,1.605,628,0.506,1890,1.523,1.5130000000000001,0.015229999999999999
125,1.618,633,0.51,1904,1.534,1.526,0.01534
126,1.631,635,0.512,1919,1.546,1.526,0.01546
127,1.644,640,0.516,1936,1.56,1.536,0.015600000000000001
128,1.656,643,0.518,1968,1.586,1.522,0.01586
129,1.669,649,0.523,1983,1.598,1.5399999999999998,0.01598
130,1.682,650,0.524,1994,1.607,1.5370000000000001,0.01607
