dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage,V_led,Iled
0,0.0,481,0.388,59,0.048,2.28,0.00048
1,0.013,483,0.389,75,0.06,2.274,0.0006
2,0.026,486,0.392,90,0.073,2.2790000000000004,0.00073
3,0.039,492,0.396,107,0.086,2.2900000000000005,0.00086
4,0.052,495,0.399,117,0.094,2.3000000000000003,0.00094
5,0.065,496,0.4,135,0.109,2.2910000000000004,0.00109
6,0.078,498,0.401,146,0.118,2.2880000000000003,0.0011799999999999
7,0.091,503,0.405,160,0.129,2.301,0.00129
8,0.104,509,0.41,181,0.146,2.314,0.00146
9,0.116,515,0.415,192,0.155,2.335,0.00155
10,0.129,518,0.417,208,0.168,2.334,0.00168
11,0.142,525,0.423,221,0.178,2.36,0.00178
12,0.155,528,0.425,235,0.189,2.361,0.00189
13,0.168,528,0.425,250,0.201,2.349,0.00201
14,0.181,531,0.428,269,0.217,2.351,0.00217
15,0.194,537,0.433,281,0.226,2.372,0.00226
16,0.207,539,0.434,300,0.242,2.362,0.00242
17,0.22,544,0.438,314,0.253,2.375,0.00253
18,0.233,546,0.44,327,0.264,2.3760000000000003,0.00264
19,0.246,551,0.444,339,0.273,2.391,0.00273
20,0.259,554,0.446,354,0.285,2.391,0.0028499999999999
21,0.272,559,0.45,371,0.299,2.401,0.00299
22,0.285,560,0.451,384,0.309,2.397,0.00309
23,0.298,562,0.453,400,0.322,2.396,0.00322
24,0.311,568,0.458,415,0.334,2.414,0.00334
25,0.324,571,0.46,429,0.346,2.414,0.0034599999999999
26,0.336,574,0.463,442,0.356,2.422,0.00356
27,0.349,576,0.464,458,0.369,2.415,0.00369
28,0.362,579,0.467,475,0.383,2.419,0.00383
29,0.375,583,0.47,489,0.394,2.426,0.00394
30,0.388,587,0.473,501,0.404,2.434,0.00404
31,0.401,592,0.477,521,0.42,2.442,0.0042
32,0.414,592,0.477,543,0.438,2.424,0.00438
33,0.427,593,0.478,555,0.447,2.421,0.00447
34,0.44,597,0.481,573,0.462,2.424,0.00462
35,0.453,603,0.486,589,0.475,2.441,0.00475
36,0.466,607,0.489,598,0.482,2.452,0.00482
37,0.479,608,0.49,618,0.498,2.442,0.00498
38,0.492,611,0.492,629,0.507,2.445,0.00507
39,0.505,617,0.497,643,0.518,2.4640000000000004,0.00518
40,0.518,620,0.5,658,0.53,2.47,0.0053
41,0.531,622,0.501,673,0.542,2.4640000000000004,0.00542
42,0.544,624,0.503,688,0.554,2.4639999999999995,0.00554
43,0.556,627,0.505,704,0.567,2.463,0.00567
44,0.569,631,0.508,721,0.581,2.467,0.0058099999999999
45,0.582,635,0.512,736,0.593,2.479,0.0059299999999999
46,0.595,639,0.515,751,0.605,2.485,0.00605
47,0.608,640,0.516,766,0.617,2.479,0.00617
48,0.621,642,0.517,782,0.63,2.4720000000000004,0.0063
49,0.634,647,0.521,790,0.637,2.4890000000000003,0.00637
50,0.647,647,0.521,805,0.649,2.4770000000000003,0.00649
51,0.66,655,0.528,823,0.663,2.505,0.00663
52,0.673,656,0.529,841,0.678,2.4960000000000004,0.00678
53,0.686,657,0.529,852,0.687,2.487,0.00687
54,0.699,661,0.533,869,0.7,2.498,0.0069999999999999
55,0.712,665,0.536,883,0.712,2.5040000000000004,0.00712
56,0.725,667,0.538,896,0.722,2.506,0.00722
