dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
0,0,445,0.359,55,0.044
1,0.013,448,0.361,68,0.055
2,0.026,453,0.365,82,0.066
3,0.039,458,0.369,98,0.079
4,0.052,463,0.373,112,0.09
5,0.065,464,0.374,129,0.104
6,0.078,469,0.378,143,0.115
7,0.091,474,0.382,160,0.129
8,0.104,478,0.385,171,0.138
9,0.116,482,0.388,192,0.155
10,0.129,486,0.392,201,0.162
11,0.142,492,0.396,220,0.177
12,0.155,496,0.4,235,0.189
13,0.168,497,0.401,246,0.198
14,0.181,499,0.402,262,0.211
15,0.194,506,0.408,274,0.221
16,0.207,507,0.409,289,0.233
17,0.22,511,0.412,304,0.245
18,0.233,517,0.417,320,0.258
19,0.246,526,0.424,337,0.272
20,0.259,528,0.425,354,0.285
21,0.272,528,0.425,367,0.296
22,0.285,533,0.43,381,0.307
23,0.298,535,0.431,396,0.319
24,0.311,541,0.436,410,0.33
25,0.324,544,0.438,423,0.341
26,0.336,549,0.442,438,0.353
27,0.349,550,0.443,454,0.366
28,0.362,556,0.448,467,0.376
29,0.375,560,0.451,489,0.394
30,0.388,560,0.451,499,0.402
31,0.401,561,0.452,518,0.417
32,0.414,566,0.456,532,0.429
33,0.427,571,0.46,551,0.444
34,0.44,576,0.464,562,0.453
35,0.453,576,0.464,580,0.467
36,0.466,580,0.467,593,0.478
37,0.479,582,0.469,611,0.492
38,0.492,586,0.472,627,0.505
39,0.505,591,0.476,640,0.516
40,0.518,592,0.477,654,0.527
41,0.531,593,0.478,669,0.539
42,0.544,599,0.483,683,0.55
43,0.556,603,0.486,701,0.565
44,0.569,605,0.488,715,0.576
45,0.582,609,0.491,726,0.585
46,0.595,611,0.492,745,0.6
47,0.608,614,0.495,761,0.613
48,0.621,618,0.498,772,0.622
49,0.634,621,0.5,787,0.634
50,0.647,624,0.503,801,0.645
51,0.66,624,0.503,816,0.658
52,0.673,627,0.505,832,0.67
53,0.686,630,0.508,848,0.683
54,0.699,635,0.512,863,0.695
55,0.712,639,0.515,879,0.708
56,0.725,641,0.517,895,0.721
57,0.738,644,0.519,911,0.734
58,0.751,647,0.521,923,0.744
59,0.764,651,0.525,939,0.757
