dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
0,0.000,247,0.199,19,0.015
1,0.013,251,0.202,36,0.029
2,0.026,256,0.206,48,0.039
3,0.039,257,0.207,64,0.052
4,0.052,261,0.210,80,0.064
5,0.065,262,0.211,93,0.075
6,0.078,266,0.214,110,0.089
7,0.091,272,0.219,125,0.101
8,0.104,272,0.219,140,0.113
9,0.116,274,0.221,155,0.125
10,0.129,279,0.225,165,0.133
11,0.142,283,0.228,185,0.149
12,0.155,284,0.229,197,0.159
13,0.168,289,0.233,213,0.172
14,0.181,292,0.235,229,0.185
15,0.194,295,0.238,241,0.194
16,0.207,299,0.241,254,0.205
17,0.220,303,0.244,272,0.219
18,0.233,304,0.245,283,0.228
19,0.246,305,0.246,303,0.244
20,0.259,307,0.247,314,0.253
21,0.272,313,0.252,330,0.266
22,0.285,315,0.254,343,0.276
23,0.298,320,0.258,361,0.291
24,0.311,321,0.259,373,0.301
25,0.324,323,0.260,386,0.311
26,0.336,326,0.263,406,0.327
27,0.349,332,0.268,418,0.337
28,0.362,333,0.268,432,0.348
29,0.375,336,0.271,449,0.362
30,0.388,336,0.271,464,0.374
31,0.401,339,0.273,474,0.382
32,0.414,343,0.276,496,0.400
33,0.427,347,0.280,511,0.412
34,0.440,351,0.283,529,0.426
35,0.453,355,0.286,546,0.440
36,0.466,357,0.288,560,0.451
37,0.479,361,0.291,574,0.463
38,0.492,363,0.293,589,0.475
39,0.505,368,0.297,599,0.483
40,0.518,368,0.297,615,0.496
41,0.531,370,0.298,633,0.510
42,0.544,375,0.302,649,0.523
43,0.556,378,0.305,663,0.534
44,0.569,381,0.307,674,0.543
45,0.582,383,0.309,692,0.558
46,0.595,384,0.309,708,0.571
47,0.608,389,0.313,723,0.583
48,0.621,390,0.314,734,0.592
49,0.634,395,0.318,752,0.606
50,0.647,399,0.322,763,0.615
51,0.660,400,0.322,775,0.625
52,0.673,401,0.323,797,0.642
53,0.686,403,0.325,807,0.650
54,0.699,406,0.327,823,0.663
55,0.712,410,0.330,843,0.679
56,0.725,411,0.331,854,0.688
57,0.738,418,0.337,870,0.701
58,0.751,419,0.338,886,0.714
59,0.764,422,0.340,899,0.724
60,0.776,425,0.342,917,0.739
61,0.789,429,0.346,933,0.752
62,0.802,431,0.347,946,0.762
63,0.815,432,0.348,961,0.774
64,0.828,433,0.349,976,0.787
