dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
0,0,262,0.211,22,0.018
1,0.013,266,0.214,38,0.031
2,0.026,271,0.218,57,0.046
3,0.039,273,0.22,67,0.054
4,0.052,274,0.221,83,0.067
5,0.065,278,0.224,95,0.077
6,0.078,282,0.227,111,0.089
7,0.091,287,0.231,128,0.103
8,0.104,289,0.233,142,0.114
9,0.116,292,0.235,159,0.128
10,0.129,295,0.238,176,0.142
11,0.142,299,0.241,186,0.15
12,0.155,303,0.244,200,0.161
13,0.168,304,0.245,215,0.173
14,0.181,307,0.247,230,0.185
15,0.194,309,0.249,242,0.195
16,0.207,313,0.252,258,0.208
17,0.22,315,0.254,272,0.219
18,0.233,321,0.259,288,0.232
19,0.246,323,0.26,304,0.245
20,0.259,325,0.262,318,0.256
21,0.272,330,0.266,329,0.265
22,0.285,334,0.269,350,0.282
23,0.298,335,0.27,363,0.293
24,0.311,337,0.272,380,0.306
25,0.324,341,0.275,390,0.314
26,0.336,343,0.276,404,0.326
27,0.349,346,0.279,422,0.34
28,0.362,349,0.281,437,0.352
29,0.375,353,0.284,450,0.363
30,0.388,356,0.287,464,0.374
31,0.401,361,0.291,481,0.388
32,0.414,363,0.293,497,0.401
33,0.427,367,0.296,509,0.41
34,0.44,368,0.297,534,0.43
35,0.453,369,0.297,550,0.443
36,0.466,372,0.3,560,0.451
37,0.479,375,0.302,576,0.464
38,0.492,379,0.305,590,0.475
39,0.505,383,0.309,607,0.489
40,0.518,385,0.31,624,0.503
41,0.531,387,0.312,635,0.512
42,0.544,391,0.315,654,0.527
43,0.556,393,0.317,663,0.534
44,0.569,399,0.322,684,0.551
45,0.582,400,0.322,695,0.56
46,0.595,402,0.324,714,0.575
47,0.608,403,0.325,724,0.583
48,0.621,408,0.329,738,0.595
49,0.634,413,0.333,754,0.608
50,0.647,414,0.334,767,0.618
51,0.66,417,0.336,784,0.632
52,0.673,421,0.339,799,0.644
53,0.686,423,0.341,814,0.656
54,0.699,429,0.346,827,0.666
55,0.712,431,0.347,843,0.679
56,0.725,431,0.347,855,0.689
57,0.738,433,0.349,875,0.705
58,0.751,435,0.351,885,0.713
59,0.764,441,0.355,905,0.729
60,0.776,443,0.357,918,0.74
