duty_cycle, dc_bits, voltage, v_bits
0,0.000, 10.0, 4095
1,10.240, 10.0, 4095
2,20.480, 10.0, 4095
3,30.720, 10.0, 4095
4,40.960, 10.0, 4095
5,51.200, 10.0, 4095
6,61.440, 10.0, 4095
7,71.680, 10.0, 4095
8,81.920, 10.0, 4095
9,92.160, 10.0, 4095
10,102.400, 10.0, 4095
11,112.640, 10.0, 4095
12,122.880, 10.0, 4095
13,133.120, 10.0, 4095
14,143.360, 10.0, 4095
15,153.600, 10.0, 4095
16,163.840, 10.0, 4095
17,174.080, 10.0, 4095
18,184.320, 10.0, 4095
19,194.560, 10.0, 4095
20,204.800, 10.0, 4095
21,215.040, 10.0, 4095
22,225.280, 10.0, 4095
23,235.520, 10.0, 4095
24,245.760, 10.0, 4095
25,256.000, 10.0, 4095
26,266.240, 10.0, 4095
27,276.480, 10.0, 4095
28,286.720, 10.0, 4095
29,296.960, 10.0, 4095
30,307.200, 10.0, 4095
31,317.440, 10.0, 4095
32,327.680, 10.0, 4095
33,337.920, 10.0, 4095
34,348.160, 10.0, 4095
35,358.400, 10.0, 4095
36,368.640, 10.0, 4095
37,378.880, 10.0, 4095
38,389.120, 10.0, 4095
39,399.360, 10.0, 4095
40,409.600, 10.0, 4095
41,419.840, 10.0, 4095
42,430.080, 10.0, 4095
43,440.320, 10.0, 4095
44,450.560, 10.0, 4095
45,460.800, 10.0, 4095
46,471.040, 10.0, 4095
47,481.280, 10.0, 4095
48,491.520, 10.0, 4095
49,501.760, 10.0, 4095
50,512.000, 10.0, 4095
51,522.240, 10.0, 4095
52,532.480, 10.0, 4095
53,542.720, 10.0, 4095
54,552.960, 10.0, 4095
55,563.200, 10.0, 4095
56,573.440, 10.0, 4095
57,583.680, 10.0, 4095
58,593.920, 10.0, 4095
59,604.160, 10.0, 4095
60,614.400, 10.0, 4095
61,624.640, 10.0, 4095
62,634.880, 10.0, 4095
63,645.120, 10.0, 4095
64,655.360, 10.0, 4095
65,665.600, 10.0, 4095
66,675.840, 10.0, 4095
67,686.080, 10.0, 4095
68,696.320, 10.0, 4095
69,706.560, 10.0, 4095
70,716.800, 10.0, 4095
71,727.040, 10.0, 4095
72,737.280, 10.0, 4095
73,747.520, 10.0, 4095
74,757.760, 10.0, 4095
75,768.000, 10.0, 4095
76,778.240, 10.0, 4095
77,788.480, 10.0, 4095
78,798.720, 10.0, 4095
79,808.960, 10.0, 4095
80,819.200, 10.0, 4095
81,829.440, 10.0, 4095
82,839.680, 10.0, 4095
83,849.920, 10.0, 4095
84,860.160, 10.0, 4095
85,870.400, 10.0, 4095
86,880.640, 10.0, 4095
87,890.880, 10.0, 4095
88,901.120, 10.0, 4095
89,911.360, 10.0, 4095
90,921.600, 10.0, 4095
91,931.840, 10.0, 4095
92,942.080, 10.0, 4095
93,952.320, 10.0, 4095
94,962.560, 10.0, 4095
95,972.800, 10.0, 4095
96,983.040, 10.0, 4095
97,993.280, 10.0, 4095
98,1003.520, 10.0, 4095
99,1013.760, 10.0, 4095
