dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
0,0.000,256,0.206,16,0.013
1,0.013,259,0.209,37,0.030
2,0.026,262,0.211,50,0.040
3,0.039,267,0.215,65,0.052
4,0.052,270,0.218,80,0.064
5,0.065,272,0.219,97,0.078
6,0.078,272,0.219,109,0.088
7,0.091,276,0.222,125,0.101
8,0.104,279,0.225,144,0.116
9,0.116,283,0.228,153,0.123
10,0.129,288,0.232,167,0.135
11,0.142,291,0.235,181,0.146
12,0.155,294,0.237,198,0.160
13,0.168,297,0.239,213,0.172
14,0.181,301,0.243,231,0.186
15,0.194,304,0.245,242,0.195
16,0.207,304,0.245,256,0.206
17,0.220,306,0.247,272,0.219
18,0.233,311,0.251,285,0.230
19,0.246,314,0.253,302,0.243
20,0.259,317,0.255,316,0.255
21,0.272,321,0.259,334,0.269
22,0.285,321,0.259,345,0.278
23,0.298,323,0.260,363,0.293
24,0.311,327,0.264,374,0.301
25,0.324,331,0.267,391,0.315
26,0.336,335,0.270,404,0.326
27,0.349,337,0.272,419,0.338
28,0.362,339,0.273,433,0.349
29,0.375,339,0.273,449,0.362
30,0.388,345,0.278,464,0.374
31,0.401,351,0.283,479,0.386
32,0.414,353,0.284,496,0.400
33,0.427,354,0.285,517,0.417
34,0.440,357,0.288,528,0.425
35,0.453,361,0.291,552,0.445
36,0.466,363,0.293,560,0.451
37,0.479,367,0.296,570,0.459
38,0.492,368,0.297,592,0.477
39,0.505,369,0.297,605,0.488
40,0.518,372,0.300,622,0.501
41,0.531,379,0.305,635,0.512
42,0.544,381,0.307,646,0.521
43,0.556,382,0.308,661,0.533
44,0.569,385,0.310,677,0.546
45,0.582,389,0.313,695,0.560
46,0.595,389,0.313,709,0.571
47,0.608,393,0.317,723,0.583
48,0.621,396,0.319,739,0.596
49,0.634,399,0.322,752,0.606
50,0.647,400,0.322,765,0.616
51,0.660,402,0.324,782,0.630
52,0.673,406,0.327,801,0.645
53,0.686,408,0.329,811,0.654
54,0.699,411,0.331,826,0.666
55,0.712,415,0.334,844,0.680
56,0.725,418,0.337,855,0.689
57,0.738,422,0.340,873,0.704
58,0.751,426,0.343,889,0.716
59,0.764,427,0.344,903,0.728
60,0.776,431,0.347,918,0.740
61,0.789,432,0.348,934,0.753
62,0.802,432,0.348,945,0.762
63,0.815,437,0.352,962,0.775
64,0.828,439,0.354,975,0.786
65,0.841,441,0.355,991,0.799
66,0.854,445,0.359,1005,0.810
67,0.867,446,0.359,1014,0.817
68,0.880,449,0.362,1040,0.838
69,0.893,449,0.362,1051,0.847
70,0.906,455,0.367,1069,0.861
71,0.919,458,0.369,1089,0.878
72,0.932,461,0.372,1102,0.888
73,0.945,464,0.374,1115,0.899
74,0.958,464,0.374,1126,0.907
75,0.971,470,0.379,1146,0.924
76,0.984,470,0.379,1159,0.934
77,0.996,474,0.382,1171,0.944
78,1.009,478,0.385,1189,0.958
79,1.022,479,0.386,1207,0.973
80,1.035,482,0.388,1221,0.984
81,1.048,482,0.388,1232,0.993
82,1.061,487,0.392,1244,1.002
83,1.074,490,0.395,1264,1.019
84,1.087,495,0.399,1279,1.031
85,1.100,496,0.400,1295,1.044
86,1.113,496,0.400,1306,1.052
87,1.126,499,0.402,1328,1.070
88,1.139,505,0.407,1335,1.076
89,1.152,506,0.408,1353,1.090
90,1.165,509,0.410,1363,1.098
91,1.178,510,0.411,1387,1.118
92,1.191,519,0.418,1395,1.124
93,1.204,523,0.421,1414,1.139
94,1.216,528,0.425,1431,1.153
95,1.229,528,0.425,1446,1.165
96,1.242,530,0.427,1460,1.177
97,1.255,533,0.430,1475,1.189
98,1.268,535,0.431,1493,1.203
99,1.281,539,0.434,1505,1.213
100,1.294,541,0.436,1523,1.227
101,1.307,545,0.439,1545,1.245
102,1.320,548,0.442,1557,1.255
103,1.333,550,0.443,1575,1.269
104,1.346,556,0.448,1587,1.279
105,1.359,555,0.447,1602,1.291
106,1.372,560,0.451,1616,1.302
107,1.385,560,0.451,1637,1.319
108,1.398,562,0.453,1647,1.327
109,1.411,566,0.456,1664,1.341
110,1.424,568,0.458,1675,1.350
111,1.436,570,0.459,1690,1.362
112,1.449,574,0.463,1707,1.376
113,1.462,576,0.464,1718,1.384
114,1.475,576,0.464,1735,1.398
115,1.488,580,0.467,1749,1.409
116,1.501,581,0.468,1766,1.423
117,1.514,585,0.471,1781,1.435
118,1.527,591,0.476,1797,1.448
119,1.540,592,0.477,1808,1.457
120,1.553,593,0.478,1829,1.474
121,1.566,596,0.480,1840,1.483
122,1.579,598,0.482,1856,1.496
123,1.592,603,0.486,1871,1.508
124,1.605,604,0.487,1886,1.520
125,1.618,608,0.490,1903,1.534
126,1.631,609,0.491,1915,1.543
127,1.644,611,0.492,1932,1.557
128,1.656,618,0.498,1965,1.584
129,1.669,622,0.501,1982,1.597
130,1.682,624,0.503,1994,1.607
131,1.695,626,0.504,2007,1.617
132,1.708,627,0.505,2026,1.633
133,1.721,633,0.510,2037,1.642
134,1.734,635,0.512,2059,1.659
135,1.747,638,0.514,2077,1.674
136,1.760,642,0.517,2086,1.681
137,1.773,642,0.517,2103,1.695
138,1.786,646,0.521,2114,1.704
139,1.799,647,0.521,2131,1.717
140,1.812,651,0.525,2150,1.733
141,1.825,654,0.527,2162,1.742
142,1.838,656,0.529,2176,1.754
143,1.851,657,0.529,2192,1.766
144,1.864,660,0.532,2208,1.779
145,1.876,662,0.533,2222,1.791
146,1.889,663,0.534,2232,1.799
147,1.902,669,0.539,2250,1.813
148,1.915,671,0.541,2266,1.826
149,1.928,674,0.543,2279,1.837
150,1.941,675,0.544,2294,1.849
151,1.954,682,0.550,2307,1.859
152,1.967,682,0.550,2321,1.870
153,1.980,686,0.553,2340,1.886
154,1.993,687,0.554,2352,1.895
155,2.006,691,0.557,2368,1.908
156,2.019,691,0.557,2383,1.920
157,2.032,694,0.559,2399,1.933
158,2.045,697,0.562,2413,1.945
159,2.058,699,0.563,2426,1.955
160,2.071,704,0.567,2443,1.969
161,2.084,705,0.568,2458,1.981
162,2.096,707,0.570,2474,1.994
163,2.109,715,0.576,2487,2.004
164,2.122,715,0.576,2505,2.019
165,2.135,718,0.579,2519,2.030
166,2.148,719,0.579,2538,2.045
167,2.161,721,0.581,2547,2.053
168,2.174,723,0.583,2570,2.071
169,2.187,727,0.586,2583,2.082
170,2.200,730,0.588,2597,2.093
171,2.213,733,0.591,2615,2.107
172,2.226,735,0.592,2630,2.119
173,2.239,737,0.594,2649,2.135
174,2.252,742,0.598,2663,2.146
175,2.265,745,0.600,2675,2.156
176,2.278,747,0.602,2688,2.166
177,2.291,751,0.605,2704,2.179
178,2.304,752,0.606,2721,2.193
179,2.316,753,0.607,2736,2.205
180,2.329,757,0.610,2751,2.217
181,2.342,758,0.611,2768,2.231
182,2.355,759,0.612,2782,2.242
183,2.368,762,0.614,2799,2.256
184,2.381,768,0.619,2814,2.268
185,2.394,771,0.621,2830,2.281
186,2.407,771,0.621,2841,2.289
187,2.420,775,0.625,2855,2.301
188,2.433,779,0.628,2877,2.318
189,2.446,782,0.630,2896,2.334
190,2.459,782,0.630,2910,2.345
191,2.472,785,0.633,2923,2.356
192,2.485,786,0.633,2937,2.367
193,2.498,790,0.637,2953,2.380
194,2.511,791,0.637,2968,2.392
195,2.524,794,0.640,2989,2.409
196,2.536,798,0.643,3006,2.422
197,2.549,801,0.645,3023,2.436
