dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
0,0.000,1077,0.868,289,0.233
5,0.004,1134,0.914,547,0.441
10,0.008,1184,0.954,809,0.652
15,0.012,1242,1.001,1065,0.858
20,0.016,1296,1.044,1313,1.058
25,0.020,1344,1.083,1563,1.260
30,0.024,1392,1.122,1838,1.481
35,0.028,1442,1.162,2096,1.689
40,0.032,1493,1.203,2355,1.898
45,0.036,1552,1.251,2619,2.111
50,0.040,1600,1.289,2876,2.318
55,0.044,1649,1.329,3150,2.538
60,0.048,1699,1.369,3393,2.734
65,0.052,1745,1.406,3650,2.941
70,0.056,1793,1.445,3899,3.142
75,0.060,1841,1.484,4095,3.300
80,0.064,1891,1.524,4095,3.300
85,0.068,1936,1.560,4095,3.300
90,0.073,1986,1.600,4095,3.300
95,0.077,2039,1.643,4095,3.300
100,0.081,2091,1.685,4095,3.300
105,0.085,2139,1.724,4095,3.300
110,0.089,2191,1.766,4095,3.300
115,0.093,2239,1.804,4095,3.300
120,0.097,2288,1.844,4095,3.300
125,0.101,2334,1.881,4095,3.300
130,0.105,2395,1.930,4095,3.300
135,0.109,2446,1.971,4095,3.300
140,0.113,2491,2.007,4095,3.300
145,0.117,2537,2.044,4095,3.300
150,0.121,2595,2.091,4095,3.300
155,0.125,2640,2.127,4095,3.300
160,0.129,2688,2.166,4095,3.300
165,0.133,2736,2.205,4095,3.300
170,0.137,2784,2.244,4095,3.300
175,0.141,2832,2.282,4095,3.300
180,0.145,2875,2.317,4095,3.300
185,0.149,2927,2.359,4095,3.300
190,0.153,2975,2.397,4095,3.300
195,0.157,3017,2.431,4095,3.300
200,0.161,3069,2.473,4095,3.300
205,0.165,3120,2.514,4095,3.300
210,0.169,3167,2.552,4095,3.300
215,0.173,3216,2.592,4095,3.300
220,0.177,3263,2.630,4095,3.300
225,0.181,3315,2.671,4095,3.300
230,0.185,3360,2.708,4095,3.300
235,0.189,3408,2.746,4095,3.300
240,0.193,3455,2.784,4095,3.300
245,0.197,3502,2.822,4095,3.300
250,0.201,3547,2.858,4095,3.300
