dac_value,dac_voltage,adc34_bits,adc34_voltage,adc35_bits,adc35_voltage
0,0.000,1080,0.870,283,0.228
5,0.004,1136,0.915,545,0.439
10,0.008,1186,0.956,793,0.639
15,0.012,1243,1.002,1059,0.853
20,0.016,1294,1.043,1317,1.061
25,0.020,1344,1.083,1574,1.268
30,0.024,1393,1.123,1835,1.479
35,0.028,1446,1.165,2096,1.689
40,0.032,1497,1.206,2359,1.901
45,0.036,1553,1.252,2628,2.118
50,0.040,1600,1.289,2873,2.315
55,0.044,1647,1.327,3143,2.533
60,0.048,1703,1.372,3402,2.742
65,0.052,1745,1.406,3642,2.935
70,0.056,1798,1.449,3911,3.152
75,0.060,1846,1.488,4095,3.300
80,0.064,1890,1.523,4095,3.300
85,0.068,1940,1.563,4095,3.300
90,0.073,1987,1.601,4095,3.300
95,0.077,2038,1.642,4095,3.300
100,0.081,2095,1.688,4095,3.300
105,0.085,2141,1.725,4095,3.300
110,0.089,2192,1.766,4095,3.300
115,0.093,2237,1.803,4095,3.300
120,0.097,2288,1.844,4095,3.300
125,0.101,2335,1.882,4095,3.300
130,0.105,2391,1.927,4095,3.300
135,0.109,2447,1.972,4095,3.300
140,0.113,2490,2.007,4095,3.300
145,0.117,2539,2.046,4095,3.300
150,0.121,2587,2.085,4095,3.300
155,0.125,2640,2.127,4095,3.300
160,0.129,2691,2.169,4095,3.300
165,0.133,2737,2.206,4095,3.300
170,0.137,2783,2.243,4095,3.300
175,0.141,2832,2.282,4095,3.300
180,0.145,2880,2.321,4095,3.300
185,0.149,2927,2.359,4095,3.300
190,0.153,2976,2.398,4095,3.300
195,0.157,3021,2.435,4095,3.300
200,0.161,3063,2.468,4095,3.300
205,0.165,3121,2.515,4095,3.300
210,0.169,3163,2.549,4095,3.300
215,0.173,3215,2.591,4095,3.300
220,0.177,3263,2.630,4095,3.300
225,0.181,3312,2.669,4095,3.300
230,0.185,3363,2.710,4095,3.300
235,0.189,3408,2.746,4095,3.300
240,0.193,3453,2.783,4095,3.300
245,0.197,3502,2.822,4095,3.300
250,0.201,3543,2.855,4095,3.300
