>>> %Run -c $EDITOR_CONTENT
DAC25: 0  ADC34: 1075 bits , 0.866 V  ADC35: 288 bits , 0.232 V
DAC25: 1  ADC34: 1086 bits , 0.875 V  ADC35: 336 bits , 0.271 V
DAC25: 2  ADC34: 1101 bits , 0.887 V  ADC35: 381 bits , 0.307 V
DAC25: 3  ADC34: 1107 bits , 0.892 V  ADC35: 446 bits , 0.359 V
DAC25: 4  ADC34: 1120 bits , 0.903 V  ADC35: 483 bits , 0.389 V
DAC25: 5  ADC34: 1130 bits , 0.911 V  ADC35: 546 bits , 0.440 V
DAC25: 6  ADC34: 1147 bits , 0.924 V  ADC35: 597 bits , 0.481 V
DAC25: 7  ADC34: 1157 bits , 0.932 V  ADC35: 650 bits , 0.524 V
DAC25: 8  ADC34: 1168 bits , 0.941 V  ADC35: 702 bits , 0.566 V
DAC25: 9  ADC34: 1173 bits , 0.945 V  ADC35: 752 bits , 0.606 V
DAC25: 10  ADC34: 1187 bits , 0.957 V  ADC35: 803 bits , 0.647 V
DAC25: 11  ADC34: 1199 bits , 0.966 V  ADC35: 850 bits , 0.685 V
DAC25: 12  ADC34: 1211 bits , 0.976 V  ADC35: 899 bits , 0.724 V
DAC25: 13  ADC34: 1221 bits , 0.984 V  ADC35: 955 bits , 0.770 V
DAC25: 14  ADC34: 1229 bits , 0.990 V  ADC35: 1008 bits , 0.812 V
DAC25: 15  ADC34: 1241 bits , 1.000 V  ADC35: 1067 bits , 0.860 V
DAC25: 16  ADC34: 1250 bits , 1.007 V  ADC35: 1104 bits , 0.890 V
DAC25: 17  ADC34: 1263 bits , 1.018 V  ADC35: 1154 bits , 0.930 V
DAC25: 18  ADC34: 1267 bits , 1.021 V  ADC35: 1202 bits , 0.969 V
DAC25: 19  ADC34: 1285 bits , 1.036 V  ADC35: 1255 bits , 1.011 V
DAC25: 20  ADC34: 1290 bits , 1.040 V  ADC35: 1309 bits , 1.055 V
DAC25: 21  ADC34: 1298 bits , 1.046 V  ADC35: 1367 bits , 1.102 V
DAC25: 22  ADC34: 1309 bits , 1.055 V  ADC35: 1414 bits , 1.139 V
DAC25: 23  ADC34: 1323 bits , 1.066 V  ADC35: 1466 bits , 1.181 V
DAC25: 24  ADC34: 1329 bits , 1.071 V  ADC35: 1508 bits , 1.215 V
DAC25: 25  ADC34: 1344 bits , 1.083 V  ADC35: 1574 bits , 1.268 V
DAC25: 26  ADC34: 1354 bits , 1.091 V  ADC35: 1631 bits , 1.314 V
DAC25: 27  ADC34: 1362 bits , 1.098 V  ADC35: 1671 bits , 1.347 V
DAC25: 28  ADC34: 1374 bits , 1.107 V  ADC35: 1722 bits , 1.388 V
DAC25: 29  ADC34: 1386 bits , 1.117 V  ADC35: 1782 bits , 1.436 V
DAC25: 30  ADC34: 1392 bits , 1.122 V  ADC35: 1829 bits , 1.474 V
DAC25: 31  ADC34: 1402 bits , 1.130 V  ADC35: 1886 bits , 1.520 V
DAC25: 32  ADC34: 1408 bits , 1.135 V  ADC35: 1946 bits , 1.568 V
